"filename", "language", "TypeScript", "Markdown", "JSON with Comments", "TypeScript JSX", "JavaScript JSX", "JavaScript", "Prisma", "JSON", "SCSS", "CSS", "Properties", "comment", "blank", "total"
"c:\xampp\htdocs\Compagnon de Code\c_de_c_front\app\layout.tsx", "TypeScript JSX", 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 3, 36
"c:\xampp\htdocs\Compagnon de Code\c_de_c_front\app\loading.tsx", "TypeScript JSX", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"c:\xampp\htdocs\Compagnon de Code\c_de_c_front\app\not-found.tsx", "TypeScript JSX", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\xampp\htdocs\Compagnon de Code\c_de_c_front\app\page.tsx", "TypeScript JSX", 0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 5, 53
"c:\xampp\htdocs\Compagnon de Code\c_de_c_front\app\style\commons\_components.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 8, 49
"c:\xampp\htdocs\Compagnon de Code\c_de_c_front\app\style\commons\_polices.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 1, 1, 38
"c:\xampp\htdocs\Compagnon de Code\c_de_c_front\app\style\global.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 68, 0, 10, 13, 91
"c:\xampp\htdocs\Compagnon de Code\c_de_c_front\app\style\style.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 77, 0, 0, 12, 89
"c:\xampp\htdocs\Compagnon de Code\c_de_c_front\app\style\style.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 3
"c:\xampp\htdocs\Compagnon de Code\c_de_c_front\components.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 17
"c:\xampp\htdocs\Compagnon de Code\c_de_c_front\components\Spacing.tsx", "TypeScript JSX", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"c:\xampp\htdocs\Compagnon de Code\c_de_c_front\components\commons\CommonHero.tsx", "TypeScript JSX", 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 1, 3, 28
"c:\xampp\htdocs\Compagnon de Code\c_de_c_front\components\footer\Footer.tsx", "TypeScript JSX", 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 2, 22
"c:\xampp\htdocs\Compagnon de Code\c_de_c_front\components\footer\components\FooterNetworks.tsx", "TypeScript JSX", 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 4, 21
